"Name","Version","Type","Description","Author","PublishedDate"
"Azure","5.1.2","Module","Microsoft Azure PowerShell - Service Management","Microsoft Corporation",""
"Azure.AnalysisServices","0.5.0","Module","Microsoft Azure PowerShell - Analysis Services server management","Microsoft Corporation",""
"Azure.Storage","4.2.1","Module","Microsoft Azure PowerShell - Storage service cmdlets. Manages blobs, queues, tables and files in Microsoft Azure storage accounts","Microsoft Corporation",""
"AzureRM","5.7.0","Module","Azure Resource Manager Module","Microsoft Corporation",""
"AzureRM.AnalysisServices","0.6.6","Module","Microsoft Azure PowerShell - Analysis Services","Microsoft Corporation",""
"AzureRM.ApiManagement","5.1.2","Module","Microsoft Azure PowerShell - Api Management service cmdlets for Azure Resource Manager","Microsoft Corporation",""
"AzureRM.ApplicationInsights","0.1.3","Module","Microsoft Azure PowerShell - Application Insights service management cmdlets for Azure Resource Manager.  Creates and manages application insights in Azure Resource Manager.","Microsoft Corporation",""
"AzureRM.Automation","4.3.2","Module","Microsoft Azure PowerShell - Automation service cmdlets for Azure Resource Manager","Microsoft Corporation",""
"AzureRM.Backup","4.0.4","Module","Microsoft Azure PowerShell - Azure Backup service cmdlets for Azure Resource Manager","Microsoft Corporation",""
"AzureRM.Batch","4.0.6","Module","Microsoft Azure PowerShell - Batch service cmdlets for Azure Resource Manager","Microsoft Corporation",""
"AzureRM.Billing","0.14.1","Module","Microsoft Azure PowerShell - Billing service cmdlets for Azure Resource Manager","Microsoft Corporation",""
"AzureRM.Cdn","4.2.2","Module","Microsoft Azure PowerShell - CDN service cmdlets for Azure Resource Manager","Microsoft Corporation",""
"AzureRM.CognitiveServices","0.9.4","Module","Microsoft Azure PowerShell - Cognitive Services management cmdlets for Azure Resource Manager. Creates and manages cognitive services accounts in Azure Resource Manager.","Microsoft Corporation",""
"AzureRM.Compute","4.6.0","Module","Microsoft Azure PowerShell - Compute service cmdlets for Azure Resource Manager.  Manages virtual machines, hosted services, and related resources in Azure Resource Manager","Microsoft Corporation",""
"AzureRM.Consumption","0.3.1","Module","Microsoft Azure PowerShell - Consumption service cmdlets for Azure Resource Manager","Microsoft Corporation",""
"AzureRM.ContainerInstance","0.2.5","Module","Microsoft Azure PowerShell - Container Instance cmdlets for Azure Resource Manager","Microsoft Corporation",""
"AzureRM.ContainerRegistry","1.0.4","Module","Microsoft Azure PowerShell - ContainerRegistry service cmdlets for Azure Resource Manager","Microsoft Corporation",""
"AzureRM.DataFactories","4.2.2","Module","Microsoft Azure PowerShell - DataFactories service cmdlets for Azure Resource Manager","Microsoft Corporation",""
"AzureRM.DataFactoryV2","0.5.3","Module","Microsoft Azure PowerShell - DataFactories service cmdlets for Azure Resource Manager","Microsoft Corporation",""
